	diff	lwr	upr	p adj
LA3-NT3	-0.214825976	-0.85874103	0.429089078	0.966862624
HA3-NT3	-0.131248451	-0.775163505	0.512666603	0.99867486
LN3-NT3	-0.630714285	-1.274629338	0.013200769	0.05837293
HN3-NT3	-0.61691571	-1.260830764	0.026999344	0.068443219
LP3-NT3	-0.664771347	-1.338193829	0.008651136	0.055109992
HP3-NT3	-0.744530741	-1.464449657	-0.024611824	0.038421258
LC3-NT3	-1.139051343	-1.812473825	-0.46562886	0.000125901
HC3-NT3	-1.24041762	-1.913840102	-0.566995137	3.23E-05
HA3-LA3	0.083577526	-0.474069269	0.64122432	0.999860136
LN3-LA3	-0.415888308	-0.973535103	0.141758486	0.274991478
HN3-LA3	-0.402089734	-0.959736529	0.155557061	0.314806199
LP3-LA3	-0.44994537	-1.041419115	0.141528375	0.252661925
HP3-LA3	-0.529704764	-1.173619818	0.11421029	0.173724171
LC3-LA3	-0.924225367	-1.515699111	-0.332751622	0.000404034
HC3-LA3	-1.025591644	-1.617065388	-0.434117899	8.57E-05
LN3-HA3	-0.499465834	-1.057112628	0.058180961	0.106942012
HN3-HA3	-0.48566726	-1.043314054	0.071979535	0.126656338
LP3-HA3	-0.533522896	-1.124996641	0.057950849	0.102317581
HP3-HA3	-0.61328229	-1.257197344	0.030632764	0.071338441
LC3-HA3	-1.007802892	-1.599276637	-0.416329147	0.000112488
HC3-HA3	-1.109169169	-1.700642914	-0.517695424	2.40E-05
HN3-LN3	0.013798574	-0.54384822	0.571445369	1
LP3-LN3	-0.034057062	-0.625530807	0.557416683	0.999999917
HP3-LN3	-0.113816456	-0.75773151	0.530098598	0.999525391
LC3-LN3	-0.508337058	-1.099810803	0.083136687	0.136777543
HC3-LN3	-0.609703335	-1.20117708	-0.01822959	0.039441741
LP3-HN3	-0.047855636	-0.639329381	0.543618109	0.999998791
HP3-HN3	-0.12761503	-0.771530084	0.516300024	0.99891486
LC3-HN3	-0.522135633	-1.113609377	0.069338112	0.116868873
HC3-HN3	-0.62350191	-1.214975654	-0.032028165	0.032850961
HP3-LP3	-0.079759394	-0.753181876	0.593663089	0.999976599
LC3-LP3	-0.474279996	-1.097748066	0.149188074	0.252671404
HC3-LP3	-0.575646273	-1.199114343	0.047821797	0.088058163
LC3-HP3	-0.394520602	-1.067943085	0.27890188	0.580744088
HC3-HP3	-0.495886879	-1.169309362	0.177535603	0.289746723
HC3-LC3	-0.101366277	-0.724834347	0.522101793	0.999743442
