"diff"	"lwr"	"upr"	"p adj"
"LA6-NT6"	-0.368898252364929	-1.50015101058592	0.76235450585606	0.976044493636747
"HA6-NT6"	-0.811864897189145	-1.89495695363405	0.271227159255757	0.285158175811716
"LN6-NT6"	-0.489259894085146	-1.59324954335624	0.614729755185946	0.871994358448561
"HN6-NT6"	-0.893764359495609	-1.9977540087667	0.210225289775484	0.198874728466398
"LP6-NT6"	-0.528303947519432	-1.75019657925092	0.693588684212054	0.886408338754823
"HP6-NT6"	-0.908380640760076	-2.03963339898106	0.222872117460914	0.207310555793831
"LC6-NT6"	-1.06749327776442	-2.23584610254872	0.100859547019869	0.0973373769375653
"HC6-NT6"	-1.30828783862961	-2.4766406634139	-0.139935013845318	0.01813449608234
"HA6-LA6"	-0.442966644824216	-1.30697521060343	0.421041920954994	0.757255631926769
"LN6-LA6"	-0.120361641720217	-1.01042655210794	0.769703268667509	0.999951224967939
"HN6-LA6"	-0.524866107130679	-1.41493101751841	0.365198803257047	0.599538018069571
"LP6-LA6"	-0.159405695154502	-1.19209345168379	0.873282061374787	0.999867057413227
"HP6-LA6"	-0.539482388395147	-1.46314639764764	0.384181620857351	0.611577074128213
"LC6-LA6"	-0.698595025399494	-1.66734201103983	0.270151960240842	0.333383468859542
"HC6-LA6"	-0.939389586264681	-1.90813657190502	0.0293573993756543	0.0636063552173316
"LN6-HA6"	0.322605003103998	-0.505387233849321	1.15059724005732	0.933503763682429
"HN6-HA6"	-0.0818994623064637	-0.909891699259783	0.746092774646856	0.999995641898879
"LP6-HA6"	0.283560949669713	-0.696132677050879	1.26325457639031	0.988638121890914
"HP6-HA6"	-0.0965157435709307	-0.960524309350141	0.767492822208279	0.999988781292524
"LC6-HA6"	-0.255628380575278	-1.16767351210041	0.656416750949849	0.990774569105701
"HC6-HA6"	-0.496422941440466	-1.40846807296559	0.415622190084662	0.694990872479779
"HN6-LN6"	-0.404504465410462	-1.25965117061292	0.450642239792	0.827138701388684
"LP6-LN6"	-0.0390440534342851	-1.04179244919496	0.963704342326392	0.999999997264082
"HP6-LN6"	-0.419120746674929	-1.30918565706266	0.470944163712797	0.830584519744387
"LC6-LN6"	-0.578233383679277	-1.51499966451049	0.358532897151941	0.540422526209705
"HC6-LN6"	-0.819027944544464	-1.75579422537568	0.117738336286753	0.129111946599495
"LP6-HN6"	0.365460411976177	-0.6372879837845	1.36820880773685	0.954002006528095
"HP6-HN6"	-0.014616281264467	-0.904681191652194	0.875448629123259	0.99999999999732
"LC6-HN6"	-0.173728918268815	-1.11049519910003	0.763037362562403	0.999480642312579
"HC6-HN6"	-0.414523479134002	-1.35128975996522	0.522242801697215	0.872916336033921
"HP6-LP6"	-0.380076693240644	-1.41276444976993	0.652611063288645	0.951390952420476
"LC6-LP6"	-0.539189330244992	-1.61238992784282	0.534011267352837	0.776356886729608
"HC6-LP6"	-0.779983891110179	-1.85318448870801	0.293216706487649	0.323448551128859
"LC6-HP6"	-0.159112637004348	-1.12785962264468	0.809634348635988	0.999788353196598
"HC6-HP6"	-0.399907197869535	-1.36865418350987	0.568839787770801	0.909920709897955
"HC6-LC6"	-0.240794560865187	-1.25261778771169	0.771028665981319	0.996928761545141
