"","A0","A3","A6","C0","C3","C6","N0","N3","N6","NT0","NT3","NT6","P0","P3"
"A3",0.0639828765451896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",0.0795762589812933,0.690629850698501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C0",0.400272070550708,0.00163867351608165,0.00163867351608165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3",0.00335938571232689,0.147507572641262,0.0421441342098717,0.000218907339650374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C6",0.000799853741030212,0.224960162192445,0.0562431334939818,7.1382828146861e-05,0.32741381425592,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N0",0.161970382558618,0.000799853741030212,0.000218907339650374,0.467417892585906,0.000799853741030212,0.000319941496412085,NA,NA,NA,NA,NA,NA,NA,NA
"N3",0.0399038144136183,0.922395257812613,0.760052807604295,0.00135135078112506,0.0399038144136183,0.03817753908812,0.000799853741030212,NA,NA,NA,NA,NA,NA,NA
"N6",0.214489111231796,0.556157890657823,0.692223150060102,0.0106581874810537,0.0123839009287926,0.0100917473292625,0.00118209963411202,0.579742837807354,NA,NA,NA,NA,NA,NA
"NT0",0.669613977353915,0.0298025503907857,0.0501608231585348,0.622267198466567,0.00188965446318387,0.000533235827353474,0.421662895927602,0.0226359504404429,0.103627471375486,NA,NA,NA,NA,NA
"NT3",0.0276806526806527,0.371083461992553,0.161970382558618,0.00611256648408351,0.784463061690785,0.416260954235638,0.00388500388500389,0.179385831559745,0.0399038144136183,0.0181182453909727,NA,NA,NA,NA
"NT6",0.0775727005235202,0.749250749250749,0.566481573346562,0.00570311226983868,0.242550242550243,0.579742837807354,0.00441000441000441,0.530503978779841,0.495014112176259,0.0533676849466323,0.530503978779841,NA,NA,NA
"P0",0.0737608280951934,0.00012848909066435,3.02904574877247e-05,0.542227174830823,9.38174312787316e-05,3.02904574877247e-05,0.893071122810697,7.1382828146861e-05,0.000391951212216389,0.28140481405793,0.00135135078112506,0.000799853741030212,NA,NA
"P3",0.00120866787533454,0.116736778846154,0.0215582348205968,0.000180598555211558,1,0.199609214315097,0.00120866787533454,0.0165737135641376,0.00340557275541796,0.000799853741030212,0.954310112963959,0.217276936026936,0.000180598555211558,NA
"P6",0.000533235827353474,0.12744293096758,0.0289292270331826,3.02904574877247e-05,0.542408681866712,0.530503978779841,0.000319941496412085,0.0208382948321029,0.00281313236378766,0.000319941496412085,0.75598643780462,0.530503978779841,3.02904574877247e-05,0.467417892585906
