pairs	F.Model	R2	p.value	p.adjusted	
1	T0 vs N3	5.78014544	0.08787067	0.001	0.006111111
2	T0 vs A3	2.783720885	0.045055896	0.001	0.006111111
3	T0 vs N6	4.923343776	0.071432167	0.001	0.006111111
4	T0 vs A6	5.638949974	0.076575643	0.001	0.006111111
5	T0 vs P6	4.301603547	0.066897298	0.001	0.006111111
6	T0 vs C6	5.05929124	0.077764315	0.001	0.006111111
7	T0 vs NT3	2.563434186	0.043771924	0.006	0.03
8	T0 vs NT6	2.825061168	0.048855308	0.002	0.011
9	T0 vs C3	6.975737402	0.107359111	0.001	0.006111111
10	T0 vs P3	3.960450814	0.064967545	0.001	0.006111111
11	N3 vs A3	1.343040299	0.073217977	0.168	0.3828
12	N3 vs N6	1.541152597	0.065466319	0.092	0.240952381
13	N3 vs A6	1.721961818	0.062115439	0.058	0.177222222
14	N3 vs P6	1.67381449	0.08507829	0.071	0.2035
15	N3 vs C6	1.332241704	0.068912945	0.147	0.351521739
16	N3 vs NT3	1.12754108	0.074535648	0.295	0.50703125
17	N3 vs NT6	0.508815615	0.03766545	0.959	0.964
18	N3 vs C3	1.680047623	0.095025062	0.019	0.064705882
19	N3 vs P3	1.318361625	0.080790073	0.126	0.315
20	A3 vs N6	0.646033799	0.029845366	0.841	0.89375
21	A3 vs A6	0.501252985	0.019656014	0.964	0.964
22	A3 vs P6	0.730501926	0.041200296	0.559	0.647395833
23	A3 vs C6	1.004996172	0.055817628	0.33	0.525555556
24	A3 vs NT3	0.882262069	0.063553192	0.455	0.608928571
25	A3 vs NT6	0.821615062	0.064080466	0.448	0.608928571
26	A3 vs C3	3.371097322	0.183500052	0.014	0.051333333
27	A3 vs P3	1.242397308	0.081509311	0.213	0.409655172
28	N6 vs A6	0.614154504	0.020061129	0.934	0.964
29	N6 vs P6	0.825692338	0.036173814	0.565	0.647395833
30	N6 vs C6	1.149232847	0.049644533	0.269	0.477258065
31	N6 vs NT3	1.221068436	0.063527605	0.216	0.409655172
32	N6 vs NT6	0.847891826	0.047506553	0.465	0.608928571
33	N6 vs C3	3.130239095	0.135331031	0.006	0.03
34	N6 vs P3	1.293690576	0.063748413	0.195	0.401296296
35	A6 vs P6	0.789498429	0.029470445	0.647	0.72622449
36	A6 vs C6	1.238096702	0.045454597	0.197	0.401296296
37	A6 vs NT3	1.08763902	0.047109149	0.33	0.525555556
38	A6 vs NT6	0.900465478	0.041116271	0.5	0.617222222
39	A6 vs C3	3.154119155	0.116156195	0.009	0.038076923
40	A6 vs P3	1.293432144	0.053242051	0.174	0.3828
41	P6 vs C6	0.550925459	0.029698004	0.845	0.89375
42	P6 vs NT3	1.210998337	0.079613337	0.232	0.425333333
43	P6 vs NT6	0.783825977	0.056865632	0.496	0.617222222
44	P6 vs C3	3.291011103	0.170598165	0.01	0.039285714
45	P6 vs P3	0.987811177	0.061785267	0.34	0.525555556
46	C6 vs NT3	0.966405881	0.064571674	0.416	0.586666667
47	C6 vs NT6	0.59120687	0.043499218	0.714	0.7854
48	C6 vs C3	1.789078573	0.100571739	0.074	0.2035
49	C6 vs P3	1.017157178	0.063504227	0.344	0.525555556
50	NT3 vs NT6	0.869064735	0.088059483	0.505	0.617222222
51	NT3 vs C3	2.114979508	0.149839361	0.008	0.036666667
52	NT3 vs P3	0.932087007	0.078116008	0.407	0.586666667
53	NT6 vs C3	1.01973707	0.08483855	0.401	0.586666667
54	NT6 vs P3	0.740115449	0.068911312	0.537	0.642065217
55	C3 vs P3	2.197704215	0.144607645	0.02	0.064705882
