"pairs"	"F.Model"	"R2"	"p.value"	"p.adjusted"
"1"	"T0 vs Nitrate"	8.57623231023958	0.103858362997462	0.001	0.003
"2"	"T0 vs Ammonium"	7.36356663129101	0.087283728335874	0.001	0.003
"3"	"T0 vs Phosphate"	7.52647374076184	0.100990605928069	0.001	0.003
"4"	"T0 vs Combined"	10.8809707468218	0.137941643514322	0.001	0.003
"5"	"T0 vs No Treatment"	4.77917117578487	0.0726547794743911	0.001	0.003
"6"	"Nitrate vs Ammonium"	1.06231287348486	0.0212198121203367	0.302	0.3775
"7"	"Nitrate vs Phosphate"	1.32506716724026	0.0328596394333284	0.16	0.24
"8"	"Nitrate vs Combined"	2.08160048879463	0.0494658108203113	0.031	0.0664285714285714
"9"	"Nitrate vs No Treatment"	0.901683835884057	0.0265970221493732	0.47	0.47
"10"	"Ammonium vs Phosphate"	1.41573213090614	0.0326087356223191	0.13	0.216666666666667
"11"	"Ammonium vs Combined"	3.27685281164596	0.0708097593624888	0.012	0.03
"12"	"Ammonium vs No Treatment"	1.26893807339873	0.0340481414012829	0.223	0.304090909090909
"13"	"Phosphate vs Combined"	1.79248721290014	0.0515193754884971	0.096	0.18
"14"	"Phosphate vs No Treatment"	0.903727446916865	0.0335911612507965	0.438	0.469285714285714
"15"	"Combined vs No Treatment"	0.977989786090508	0.0349556845780509	0.376	0.433846153846154
