"","observed","simpson","shannon","SampleID","Phenotype","Rep","Nutrient","Exposure_weeks","Nutrient_weeks","Nutrient_geno","Nutrient_merged_geno","Tank","T0_merge","NW_T0_merge","Nutrient_order","Nutrient_no_level","Geno_weeks","No_level_no_T0","Level","No_level_weeks","No_level_weeks_noT0","outlier"
"MP-50-1-T0",22,0.869100088473308,2.32089999996333,"MP-50-1-T0","Susceptible",1,"LP","0","LP0","50_T0","50_T0","MP-50-1","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"MP-50-3-T0",61,0.910658192709475,3.25235449064369,"MP-50-3-T0","Susceptible",3,"LP","0","LP0","50_T0","50_T0","MP-50-3","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"LP-50-3-T0",63,0.91310947151403,3.18346622394455,"LP-50-3-T0","Susceptible",3,"HP","0","HP0","50_T0","50_T0","LP-50-3","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"HA-50-2-T0",33,0.71699093351515,1.86648444951388,"HA-50-2-T0","Susceptible",2,"HA","0","HA0","50_T0","50_T0","HA-50-2","T0","T0",7,"T0","50_0","Ammonium","0","T0","A0","N"
"MP-50-2-T0",35,0.817201159081501,2.45152345104781,"MP-50-2-T0","Susceptible",2,"LP","0","LP0","50_T0","50_T0","MP-50-2","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"MC-50-1-T0",46,0.89880763954838,2.91104002806548,"MC-50-1-T0","Susceptible",1,"LC","0","LC0","50_T0","50_T0","MC-50-1","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"MA-50-1-T0",17,0.826503031631237,2.1822707241394,"MA-50-1-T0","Susceptible",1,"LA","0","LA0","50_T0","50_T0","MA-50-1","T0","T0",6,"T0","50_0","Ammonium","0","T0","A0","N"
"MA-50-3-T0",35,0.905301093335281,2.93377262852089,"MA-50-3-T0","Susceptible",3,"LA","0","LA0","50_T0","50_T0","MA-50-3","T0","T0",6,"T0","50_0","Ammonium","0","T0","A0","N"
"HC-50-3-T0",79,0.917005543786171,3.47506649151696,"HC-50-3-T0","Susceptible",3,"HC","0","HC0","50_T0","50_T0","HC-50-3","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"LA-50-3-T0",37,0.914262059561205,2.92822395198185,"LA-50-3-T0","Susceptible",3,"HA","0","T0","50_T0","50_T0","LA-50-3","T0","T0",7,"T0","50_0","Ammonium","0","T0","A0","N"
"HC-50-1-T0",56,0.951631886104821,3.47725901507212,"HC-50-1-T0","Susceptible",1,"HC","0","HC0","50_T0","50_T0","HC-50-1","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"HA-50-3-T0",41,0.94200534086574,3.24969556886422,"HA-50-3-T0","Susceptible",3,"HA","0","HA0","50_T0","50_T0","HA-50-3","T0","T0",7,"T0","50_0","Ammonium","0","T0","A0","N"
