"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"mu.(Intercept)"	0.423984560927357	0.0822149103527952	5.15702758913173	8.60118574382704e-07
"mu.Nutrient_no_levelNo Treatment"	1.3729673377678	0.243489607714652	5.63871021295003	9.41764498364327e-08
"mu.Nutrient_no_levelAmmonium"	0.984124130226939	0.152164612911888	6.46749668923879	1.62933820118041e-09
"mu.Nutrient_no_levelCombined"	1.6277437768986	0.164747742069607	9.88021903335626	1.03380012511604e-17
"mu.Nutrient_no_levelNitrate"	0.820006993767942	0.144368135526154	5.67997218208438	7.75083469005345e-08
"mu.Nutrient_no_levelPhosphate"	1.8273182722237	0.150937703216077	12.1064401623217	2.14676431701174e-23
"phi.(Intercept)"	-2.38369457938552	0.188190083519389	-12.6664196901743	7.9778528878282e-25
"phi.Nutrient_no_levelNo Treatment"	-0.192433935816384	0.467422404783206	-0.411691724331519	0.681208767545436
"phi.Nutrient_no_levelAmmonium"	-0.201604507221008	0.327660620949142	-0.615284517977827	0.539387561307804
"phi.Nutrient_no_levelCombined"	-0.875317082657345	0.384843985043735	-2.27447255686709	0.0244912652584112
"phi.Nutrient_no_levelNitrate"	-0.389459188068045	0.340536296940089	-1.143664248327	0.254757330247142
"phi.Nutrient_no_levelPhosphate"	-1.34616598920296	0.393896354451314	-3.41756397080173	0.000832237417807868
