	A0	A3	A6	C0	C3	C6	N0	N3	N6	NT0	NT3	NT6	P0	P3	P6
A0		0.04	0.459545455	0.646058824	0.013125	0.013125	0.208018868	0.5184375	0.387573529	0.706153846	0.130609756	0.083275862	0.767741935	0.013125	0.013125
A3	0.04		0.428513514	0.090810811	0.03675	0.550925926	0.013125	0.459545455	0.469177215	0.090416667	0.874285714	0.694166667	0.14	0.783125	0.203823529
A6	0.459545455	0.428513514		0.203823529	0.03675	0.203823529	0.09	0.973	0.929558824	0.278852459	0.646058824	0.3675	0.296370968	0.3675	0.102307692
C0	0.646058824	0.090810811	0.203823529		0.024230769	0.03675	0.658081395	0.333333333	0.208018868	0.929558824	0.203823529	0.126	0.913181818	0.09	0.021
C3	0.013125	0.03675	0.03675	0.024230769		0.0588	0.013125	0.073888889	0.035	0.021	0.07875	0.3675	0.035	0.0525	0.09
C6	0.013125	0.550925926	0.203823529	0.03675	0.0588		0.013125	0.226875	0.211909091	0.03675	0.469177215	0.938883495	0.0588	0.782526316	0.4536
N0	0.208018868	0.013125	0.09	0.658081395	0.013125	0.013125		0.14	0.073888889	0.558292683	0.09	0.0588	0.564216867	0.024230769	0.013125
N3	0.5184375	0.459545455	0.973	0.333333333	0.073888889	0.226875	0.14		0.92295	0.38238806	0.671034483	0.41125	0.428513514	0.406690141	0.09
N6	0.387573529	0.469177215	0.929558824	0.208018868	0.035	0.211909091	0.073888889	0.92295		0.278852459	0.694166667	0.402	0.278852459	0.389565217	0.093947368
NT0	0.706153846	0.090416667	0.278852459	0.929558824	0.021	0.03675	0.558292683	0.38238806	0.278852459		0.203823529	0.1325	0.973	0.09	0.024230769
NT3	0.130609756	0.874285714	0.646058824	0.203823529	0.07875	0.469177215	0.09	0.671034483	0.694166667	0.203823529		0.683693182	0.257894737	0.721304348	0.211909091
NT6	0.083275862	0.694166667	0.3675	0.126	0.3675	0.938883495	0.0588	0.41125	0.402	0.1325	0.683693182		0.203823529	0.816185567	0.768510638
P0	0.767741935	0.14	0.296370968	0.913181818	0.035	0.0588	0.564216867	0.428513514	0.278852459	0.973	0.257894737	0.203823529		0.14	0.03675
P3	0.013125	0.783125	0.3675	0.09	0.0525	0.782526316	0.024230769	0.406690141	0.389565217	0.09	0.721304348	0.816185567	0.14		0.278852459
P6	0.013125	0.203823529	0.102307692	0.021	0.09	0.4536	0.013125	0.09	0.093947368	0.024230769	0.211909091	0.768510638	0.03675	0.278852459	
