"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV_1"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Midichloriaceae"	"MD3-55"	NA
"ASV_2"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"ASV_3"	"Bacteria"	"Epsilonbacteraeota"	"Campylobacteria"	"Campylobacterales"	"Helicobacteraceae"	NA	NA
"ASV_4"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Francisellales"	"Francisellaceae"	NA	NA
"ASV_5"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Spirochaeta_2"	NA
"ASV_6"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"ASV_7"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_8"	NA	NA	NA	NA	NA	NA	NA
"ASV_9"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"JGI_0000069-P22"	NA	NA	NA
"ASV_10"	NA	NA	NA	NA	NA	NA	NA
"ASV_11"	NA	NA	NA	NA	NA	NA	NA
"ASV_12"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_13"	NA	NA	NA	NA	NA	NA	NA
"ASV_14"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Francisellales"	"Francisellaceae"	NA	NA
"ASV_15"	NA	NA	NA	NA	NA	NA	NA
"ASV_16"	NA	NA	NA	NA	NA	NA	NA
"ASV_17"	NA	NA	NA	NA	NA	NA	NA
"ASV_18"	NA	NA	NA	NA	NA	NA	NA
"ASV_19"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_20"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_21"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_22"	NA	NA	NA	NA	NA	NA	NA
"ASV_23"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_24"	NA	NA	NA	NA	NA	NA	NA
"ASV_25"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_26"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_27"	NA	NA	NA	NA	NA	NA	NA
"ASV_28"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	NA
"ASV_29"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_30"	NA	NA	NA	NA	NA	NA	NA
"ASV_31"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_32"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Ferrimonas"	"futtsuensis"
"ASV_33"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_34"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_35"	NA	NA	NA	NA	NA	NA	NA
"ASV_36"	NA	NA	NA	NA	NA	NA	NA
"ASV_37"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_38"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_39"	NA	NA	NA	NA	NA	NA	NA
"ASV_40"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_41"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Algicola"	"bacteriolytica"
"ASV_42"	"Bacteria"	"Epsilonbacteraeota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	NA
"ASV_43"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	"Thalassotalea"	NA
"ASV_44"	NA	NA	NA	NA	NA	NA	NA
"ASV_45"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_46"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Catenococcus"	NA
"ASV_47"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"Aureispira"	NA
"ASV_48"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_49"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_50"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bacteriovoracaceae"	"Halobacteriovorax"	NA
"ASV_51"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_52"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	NA	NA	NA	NA
"ASV_53"	NA	NA	NA	NA	NA	NA	NA
"ASV_54"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_55"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	NA
"ASV_56"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_57"	NA	NA	NA	NA	NA	NA	NA
"ASV_58"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	NA
"ASV_59"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Midichloriaceae"	"MD3-55"	NA
"ASV_60"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"P3OB-42"	NA	NA
"ASV_61"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Thalassobius"	NA
"ASV_62"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	"Thalassotalea"	NA
"ASV_63"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Haloferula"	NA
"ASV_64"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oleiphilaceae"	"Oleiphilus"	NA
"ASV_65"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Celeribacter"	NA
"ASV_66"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	NA
"ASV_67"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Idiomarinaceae"	"Idiomarina"	NA
"ASV_68"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Lawsonella"	"clevelandensis"
"ASV_69"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"ASV_70"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Kordiimonadales"	"Kordiimonadaceae"	"Kordiimonas"	NA
"ASV_71"	"Bacteria"	"Epsilonbacteraeota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	NA
"ASV_72"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Shimia"	NA
"ASV_73"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"HIMB11"	NA
"ASV_74"	"Bacteria"	"Epsilonbacteraeota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	NA
"ASV_75"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"ASV_76"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	NA
"ASV_77"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	NA	NA
"ASV_78"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Marixanthomonas"	NA
"ASV_79"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family_XI"	"Anaerococcus"	NA
"ASV_80"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Nitrincolaceae"	"Neptuniibacter"	"caesariensis"
