sample,trt_weeks,tle,Treatment,Weeks,rickabun
MP-50-1-TM,LP3,5,LP,3,0.973322872
MP-50-2-TM,LP3,4,LP,3,0.912710867
MP-50-3-TM,LP3,3,LP,3,0.940172617
MP-50-3-TX,LP3,4,LP,3,0.907610828
HP-50-1-TM,HP3,4,HP,3,0.868183601
HP-50-2-TM,HP6,4,HP,6,0.925853276
HP-50-3-TM,HP3,4,HP,3,0.931737936
HP-50-3-TX,HP3,3,HP,3,0.871322087
MC-50-1-TM,LC3,3,LC,3,0.838956454
MC-50-2-TM,LC3,2,LC,3,0.93624951
MC-50-3-TM,LC3,3,LC,3,0.890741467
MC-50-3-TX,LC3,2,LC,3,0.975872891
HC-50-1-TM,HC3,2,HC,3,0.723224794
HC-50-2-TM,HC3,3,HC,3,0.967634366
HC-50-3-TM,HC3,2,HC,3,0.909964692
HC-50-3-TX,HC3,2,HC,3,0.932522558
Ctrl-50-3-TM,NT3,8,NT,3,0.881522166
Ctrl-50-4-TM,NT3,7,NT,3,0.922518635
Ctrl-50-4-TX,NT3,8,NT,3,0.942918792
MP-50-1-TE,LP6,9,LP,6,0.86484896
MP-50-2-TE,LP6,6,LP,6,0.824244802
MP-50-2-TX,LP6,5,LP,6,0.886426049
MP-50-3-TE,LP6,14,LP,6,0.932522558
HP-50-1-TE,HP6,5,HP,6,0.96959592
HP-50-1-TX,HP6,4,HP,6,0.841114162
HP-50-2-TM,HP6,11,HP,6,0.925853276
HP-50-2-TX,HP6,9,HP,6,0.85935661
HP-50-3-TE,HP6,3,HP,6,0.945861122
MC-50-1-TE,LC6,10,LC,6,0.92565712
MC-50-1-TX,LC6,4,LC,6,0.865241271
MC-50-2-TE,LC6,5,LC,6,0.857983523
MC-50-2-TX,LC6,5,LC,6,0.913887799
MC-50-3-TE,LC6,2,LC,6,0.875049039
HC-50-1-TE,HC6,1,HC,6,0.815221656
HC-50-1-TX,HC6,8,HC,6,0.911533935
HC-50-2-TE,HC6,3,HC,6,0.930561004
HC-50-2-TX,HC6,5,HC,6,0.868968223
HC-50-3-TE,HC6,5,HC,6,0.807963907
Ctrl-50-3-TE,NT6,12,NT,6,0.887602982
Ctrl-50-3-TX,NT6,14,NT,6,0.950765006
Ctrl-50-4-TE,NT6,14,NT,6,0.856806591
LN-50-2-T1,LN3,2,LN,3,0.794233033
LN-50-2-T2,LN3,5,LN,3,0.74029031
LN-50-2-T3,LN6,6,LN,6,0.65496273
LN-50-2-T4,LN6,7,LN,6,0.548842683
LN-50-3-T1,HN3,4,HN,3,0.951549627
LN-50-3-T2,HN6,8,HN,6,0.81757552
LN-50-3-T3,HN6,5,HN,6,NA
MN-50-1-T1,LN3,4,LN,3,0.811102393
MN-50-1-T2,LN3,7,LN,3,0.66849745
MN-50-1-T3,LN6,8,LN,6,0.876225971
MN-50-1-T4,LN6,9,LN,6,0.759317379
MN-50-2-T2,LN6,9,LN,6,0.805217732
MN-50-2-T4,LN6,11,LN,6,0.78167909
MN-50-3-T1,LN3,4,LN,3,0.822675559
MN-50-3-T2,LN6,8,LN,6,0.921734013
HN-50-1-T1,HN3,5,HN,3,0.881718321
HN-50-1-T2,HN3,3,HN,3,0.780306002
HN-50-1-T3,HN6,7,HN,6,0.656335818
HN-50-1-T4,HN6,6,HN,6,0.817379364
HN-50-2-T1,HN6,4,HN,6,0.747744213
HN-50-2-T3,HN3,5,HN,3,0.662808945
HN-50-3-T1,HN3,4,HN,3,0.846802668
HN-50-3-T2,HN6,3,HN,6,0.608473911
HN-50-3-T4,HN6,7,HN,6,0.78756375
LA-50-3-T3,HA3,9,HA,3,
LA-50-3-T4,HA6,10,HA,6,
MA-50-1-T1,LA3,4,LA,3,
MA-50-1-T2,LA6,6,LA,6,
MA-50-1-T3,LA6,7,LA,6,
MA-50-1-T4,LA6,10,LA,6,
MA-50-2-T1,LA3,8,LA,3,
MA-50-2-T2,LA6,12,LA,6,
MA-50-2-T4,LA6,15,LA,6,
MA-50-3-T1,LA3,5,LA,3,
MA-50-3-T2,LA3,7,LA,3,
MA-50-3-T3,LA3,8,LA,3,
MA-50-3-T4,LA6,8,LA,6,
HA-50-1-T1,HA3,6,HA,3,
HA-50-1-T2,HA6,7,HA,6,
HA-50-1-T4,HA6,2,HA,6,
HA-50-2-T1,HA3,6,HA,3,
HA-50-2-T2,HA6,12,HA,6,
HA-50-2-T3,HA6,11,HA,6,
HA-50-2-T4,HA6,5,HA,6,
HA-50-3-T1,HA3,7,HA,3,
HA-50-3-T2,HA3,6,HA,3,
HA-50-3-T3,HA6,4,HA,6,
HA-50-3-T4,HA6,4,HA,6,
